row.number_original.sheet,ID,lat.long,plant_richness,frugivore_richness,interaction_richness,patch_state,observations
2182,250,"-28.128461 , -52.302854",1,1,1,,
750,251,"-28.225787 , -51.168772",13,21,54,,
2570,252,"-28.258055 , -52.409625",2,1,2,,
6979,253,"-28.326257 , -49.044685",1,1,1,,
2304,254,"-28.525648 , -49.321564",2,2,2,,
2573,255,"-28.672769 , -49.373377",1,1,1,,
3866,256,"-28.701244 , -49.589123",1,1,1,,
257,257,"-28.829251 , -49.842543",1,1,1,,
3517,258,"-28.847881 , -51.890148",1,1,1,,
6485,259,"-29.030385 , -51.200376",1,1,1,,
2175,260,"-29.163403 , -51.179668",1,1,1,,
258,261,"-29.195221 , -49.947635",4,2,4,,
1685,262,"-29.356493 , -50.812426",1,1,1,,
1677,263,"-29.365219 , -51.958016",1,1,1,,
2180,264,"-29.374569 , -50.876435",1,1,1,,
4956,265,"-29.378219 , -51.111491",1,1,1,,
2177,266,"-29.538434 , -51.081627",1,3,3,,
2170,267,"-29.589841 , -51.085391",1,1,1,,
1902,268,"-29.608742 , -50.224443",1,1,1,,
2188,269,"-29.644883 , -53.58612",1,1,1,,
2841,270,"-29.65404 , -51.184849",1,1,1,,
6987,271,"-29.68725 , -53.81545",1,1,1,,
816,272,"-3.540118 , -40.453467",1,1,1,,
3147,273,"-30.034632 , -51.217698",4,1,4,,
2577,274,"-30.034656 , -51.217658",1,1,1,,
6728,275,"-30.100491 , -51.172667",1,5,5,,
2224,276,"-30.268572 , -51.001754",7,1,7,,
3841,277,"-30.334177 , -54.322195",1,1,1,,
2356,278,"-30.399767 , -50.968192",10,17,43,,
4193,279,"-30.514827 , -53.483223",1,1,1,,
6989,280,"-31.765399 , -52.337589",1,1,1,,
4226,281,"-39.75 , -19.1",1,1,1,,
2166,282,"-4.132864 , -38.247089",1,1,1,,
256,283,"-47.109167 , -22.829167",31,3,33,,
6614,284,"-6.083333 , -35.2",2,1,2,,
3478,285,"-7.05 , -39.097222",4,1,4,,
815,286,"-8.023921 , -34.978467",1,1,1,,
