id,layer,freq1985,rel_freq1985,buffer,metric1985,value1985,freq2020,rel_freq2020,metric2020,value2020,change_area_ha,change_area_prop,change_iso,change_iso_prop
49,0,19,0.08050847457627118,250,enn_mn,0.001389885620634526,17,0.07203389830508475,enn_mn,0.0011581170284207442,-0.018,-0.008474576271186432,-2.3176859221378174e-4,-0.16675371611368436
50,0,13,0.05485232067510549,250,NA,NA,0,0,NA,NA,-0.117,-0.05485232067510549,NA,NA
51,0,239,1,250,NA,NA,239,1,NA,NA,0,0,NA,NA
52,0,153,0.6375,250,enn_mn,9.716765455318823e-4,153,0.6375,enn_mn,7.62245794854219e-4,0,0,-2.094307506776634e-4,-0.21553545944965039
53,0,240,1,250,NA,NA,238,0.9916666666666667,NA,NA,-0.018,-0.008333333333333304,NA,NA
54,0,223,0.9409282700421941,250,NA,NA,228,0.9620253164556962,NA,NA,0.045,0.021097046413502074,NA,NA
55,0,229,0.9662447257383966,250,enn_mn,NA,237,1,NA,NA,0.072,0.03375527426160341,NA,NA
56,0,160,0.6722689075630253,250,enn_mn,9.716765455259702e-4,173,0.726890756302521,enn_mn,0.0011111546404599059,0.117,0.054621848739495715,1.3947809493393567e-4,0.14354374979632337
57,0,156,0.6724137931034483,250,enn_mn,8.522167064264495e-4,179,0.771551724137931,enn_mn,7.62245794854219e-4,0.207,0.09913793103448276,-8.997091157223055e-5,-0.10557280899772584
58,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
59,0,232,1,250,NA,NA,232,1,NA,NA,0,0,NA,NA
60,0,234,0.975,250,enn_mn,NA,214,0.8916666666666667,enn_mn,NA,-0.18,-0.08333333333333326,NA,NA
61,0,34,0.14166666666666666,250,enn_mn,0.002864766736800638,36,0.15,enn_mn,0.002864766736800638,0.018,0.008333333333333331,0,0
62,0,14,0.05907172995780591,250,enn_mn,8.230614059469609e-4,31,0.1308016877637131,enn_mn,6.712333933380617e-4,0.153,0.07172995780590719,-1.5182801260889918e-4,-0.18446741824106763
63,0,239,1,250,NA,NA,239,1,NA,NA,0,0,NA,NA
64,0,204,0.8535564853556485,250,enn_mn,NA,210,0.8786610878661087,enn_mn,NA,0.054,0.025104602510460206,NA,NA
65,0,238,1,250,NA,NA,231,0.9705882352941176,enn_mn,NA,-0.063,-0.02941176470588236,NA,NA
66,0,142,0.5916666666666667,250,enn_mn,NA,152,0.6333333333333333,enn_mn,5.601955177008272e-4,0.09,0.04166666666666663,NA,NA
67,0,59,0.24583333333333332,250,enn_mn,0.0018078246364670006,69,0.2875,enn_mn,0.0018078246364670006,0.09,0.04166666666666666,0,0
68,0,238,0.99581589958159,250,NA,NA,239,1,NA,NA,0.009,0.004184100418409997,NA,NA
69,0,14,0.058333333333333334,250,enn_mn,5.389891704723482e-4,2,0.008333333333333333,NA,NA,-0.108,-0.05,NA,NA
70,0,181,0.7801724137931034,250,enn_mn,NA,232,1,NA,NA,0.459,0.21982758620689657,NA,NA
71,0,233,1,250,NA,NA,233,1,NA,NA,0,0,NA,NA
72,0,0,0,250,NA,NA,13,0.0546218487394958,enn_mn,0.003072711032840069,0.117,0.0546218487394958,NA,NA
73,0,239,1,250,NA,NA,239,1,NA,NA,0,0,NA,NA
74,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
75,0,207,0.8808510638297873,250,NA,NA,214,0.9106382978723404,enn_mn,NA,0.063,0.029787234042553123,NA,NA
76,0,6,0.02553191489361702,250,NA,NA,20,0.0851063829787234,enn_mn,0.001085875346243828,0.126,0.059574468085106386,NA,NA
77,0,239,1,250,NA,NA,239,1,NA,NA,0,0,NA,NA
78,0,65,1,250,NA,NA,65,1,NA,NA,0,0,NA,NA
79,0,54,0.30857142857142855,250,enn_mn,NA,20,0.11428571428571428,enn_mn,0.0011071336414233146,-0.306,-0.19428571428571428,NA,NA
80,0,22,0.09090909090909091,250,NA,NA,25,0.10330578512396695,enn_mn,5.389891704723482e-4,0.027,0.012396694214876033,NA,NA
81,0,237,1,250,NA,NA,237,1,NA,NA,0,0,NA,NA
82,0,24,0.12631578947368421,250,NA,NA,24,0.12631578947368421,NA,NA,0,0,NA,NA
83,0,222,0.9527896995708155,250,NA,NA,191,0.8197424892703863,enn_mn,NA,-0.279,-0.1330472103004292,NA,NA
84,0,237,1,250,NA,NA,237,1,NA,NA,0,0,NA,NA
85,0,25,0.1037344398340249,250,NA,NA,14,0.058091286307053944,NA,NA,-0.099,-0.04564315352697096,NA,NA
86,0,240,1,250,NA,NA,240,1,NA,NA,0,0,NA,NA
87,0,53,0.2245762711864407,250,enn_mn,5.389891704723482e-4,79,0.3347457627118644,enn_mn,8.08483755712075e-4,0.234,0.11016949152542371,2.694945852397268e-4,0.5000000000065914
88,0,183,0.7656903765690377,250,NA,NA,182,0.7615062761506276,enn_mn,NA,-0.009,-0.004184100418410108,NA,NA
89,0,242,1,250,NA,NA,242,1,NA,NA,0,0,NA,NA
90,0,155,0.6458333333333334,250,enn_mn,NA,190,0.7916666666666666,enn_mn,NA,0.315,0.14583333333333326,NA,NA
91,0,138,0.5798319327731093,250,enn_mn,7.776584484735043e-4,126,0.5294117647058824,enn_mn,8.920366527946386e-4,-0.108,-0.050420168067226934,1.1437820432113428e-4,0.14708025682181125
92,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
93,0,238,1,250,NA,NA,238,1,NA,NA,0,0,NA,NA
94,0,118,0.4978902953586498,250,enn_mn,6.976822379104188e-4,88,0.37130801687763715,enn_mn,8.693351050873559e-4,-0.27,-0.12658227848101267,1.7165286717693703e-4,0.2460330188296652
95,0,91,0.37916666666666665,250,enn_mn,7.186522272964643e-4,88,0.36666666666666664,enn_mn,0.001205216424312393,-0.027,-0.012500000000000011,4.8656419701592873e-4,0.6770509831248422
96,0,221,0.9404255319148936,250,NA,NA,220,0.9361702127659575,NA,NA,-0.009,-0.004255319148936176,NA,NA
97,0,0,NA,250,NA,NA,0,NA,NA,NA,0,NA,NA,NA
98,0,98,0.4100418410041841,250,NA,NA,104,0.4351464435146444,NA,NA,0.054,0.02510460251046026,NA,NA
99,0,240,1,250,NA,NA,240,1,NA,NA,0,0,NA,NA
100,0,240,1,250,NA,NA,240,1,NA,NA,0,0,NA,NA
101,0,119,0.49583333333333335,250,enn_mn,6.026082121577853e-4,94,0.39166666666666666,enn_mn,0.0011678098693579386,-0.225,-0.10416666666666669,5.652016572001533e-4,0.9379255804966735
102,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
103,0,104,0.4388185654008439,250,enn_mn,0.0016392715651922754,70,0.29535864978902954,enn_mn,0.001036943637145022,-0.306,-0.14345991561181437,-6.023279280472534e-4,-0.3674363301583923
104,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
105,0,186,0.7782426778242678,250,enn_mn,5.389891704723482e-4,192,0.803347280334728,enn_mn,6.712333933380617e-4,0.054,0.025104602510460206,1.3224422286571352e-4,0.2453559924957677
106,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
107,0,218,0.9083333333333333,250,NA,NA,218,0.9083333333333333,NA,NA,0,0,NA,NA
108,0,20,0.08333333333333333,250,NA,NA,11,0.04583333333333333,NA,NA,-0.081,-0.0375,NA,NA
109,0,95,0.3958333333333333,250,enn_mn,5.389891704723482e-4,16,0.06666666666666667,enn_mn,0.001106033257161519,-0.711,-0.32916666666666666,5.670440866891709e-4,1.0520509831250162
110,0,240,1,250,NA,NA,240,1,NA,NA,0,0,NA,NA
111,0,237,1,250,NA,NA,237,1,NA,NA,0,0,NA,NA
112,0,169,0.7788018433179723,250,NA,NA,169,0.7788018433179723,NA,NA,0,0,NA,NA
113,0,224,0.9572649572649573,250,enn_mn,NA,199,0.8504273504273504,NA,NA,-0.225,-0.1068376068376069,NA,NA
114,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
115,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
116,0,0,NA,250,NA,NA,0,NA,NA,NA,0,NA,NA,NA
117,0,0,NA,250,NA,NA,0,NA,NA,NA,0,NA,NA,NA
118,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
119,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
120,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
121,0,239,1,250,NA,NA,239,1,NA,NA,0,0,NA,NA
122,0,0,0,250,NA,NA,72,0.2938775510204082,enn_mn,9.573215052919023e-4,0.648,0.2938775510204082,NA,NA
123,0,72,0.2987551867219917,250,enn_mn,NA,63,0.26141078838174275,enn_mn,NA,-0.081,-0.03734439834024894,NA,NA
124,0,121,0.5041666666666667,250,enn_mn,8.508964501626515e-4,59,0.24583333333333332,NA,NA,-0.558,-0.2583333333333333,NA,NA
125,0,233,0.9789915966386554,250,NA,NA,238,1,NA,NA,0.045,0.021008403361344574,NA,NA
126,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
127,0,0,0,250,NA,NA,1,0.004166666666666667,NA,NA,0.009,0.004166666666666667,NA,NA
128,0,140,0.5785123966942148,250,enn_mn,5.389891704723482e-4,124,0.512396694214876,enn_mn,6.026082121577853e-4,-0.144,-0.06611570247933884,6.361904168543711e-5,0.11803398875284261
129,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
130,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
131,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
132,0,58,0.2396694214876033,250,enn_mn,NA,13,0.05371900826446281,NA,NA,-0.405,-0.1859504132231405,NA,NA
133,0,127,0.5183673469387755,250,NA,NA,121,0.49387755102040815,NA,NA,-0.054,-0.024489795918367363,NA,NA
134,0,163,0.6735537190082644,250,enn_mn,NA,163,0.6735537190082644,enn_mn,NA,0,0,NA,NA
135,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
136,0,226,0.9456066945606695,250,enn_mn,NA,226,0.9456066945606695,enn_mn,NA,0,0,NA,NA
137,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
138,0,240,1,250,NA,NA,240,1,NA,NA,0,0,NA,NA
139,0,0,0,250,NA,NA,0,0,NA,NA,0,0,NA,NA
140,0,62,0.256198347107438,250,enn_mn,9.085902554199235e-4,88,0.36363636363636365,enn_mn,7.931696608689568e-4,0.234,0.10743801652892565,-1.154205945509667e-4,-0.12703261328465681
141,0,246,1,250,NA,NA,246,1,NA,NA,0,0,NA,NA
142,0,26,0.10833333333333334,250,NA,NA,24,0.1,enn_mn,6.026082121546077e-4,-0.018,-0.008333333333333331,NA,NA
143,0,236,0.9516129032258065,250,NA,NA,120,0.4838709677419355,enn_mn,7.148292952329787e-4,-1.044,-0.467741935483871,NA,NA
144,0,97,0.3911290322580645,250,enn_mn,6.026082121546077e-4,99,0.39919354838709675,enn_mn,5.60195517699768e-4,0.018,0.008064516129032251,-4.241269445483969e-5,-0.07038187266515065
145,0,1,0.004016064257028112,250,NA,NA,7,0.028112449799196786,NA,NA,0.054,0.024096385542168676,NA,NA
146,0,70,0.2845528455284553,250,enn_mn,0.0010173021130130682,100,0.4065040650406504,enn_mn,7.5893354433039e-4,0.27,0.12195121951219512,-2.5836856868267813e-4,-0.25397427703893816
147,0,155,0.6275303643724697,250,enn_mn,NA,125,0.5060728744939271,enn_mn,NA,-0.27,-0.12145748987854255,NA,NA
148,0,218,0.8934426229508197,250,enn_mn,NA,212,0.8688524590163934,NA,NA,-0.054,-0.024590163934426257,NA,NA
149,0,22,0.0873015873015873,250,enn_mn,0.0012841983051767366,18,0.07142857142857142,enn_mn,0.0027083870621816882,-0.036,-0.015873015873015872,0.0014241887570049516,1.109009995780168
150,0,244,0.9606299212598425,250,enn_mn,NA,208,0.8188976377952756,enn_mn,NA,-0.324,-0.1417322834645669,NA,NA
151,0,213,0.8385826771653543,250,enn_mn,6.026082121577853e-4,155,0.610236220472441,enn_mn,5.60195517699768e-4,-0.522,-0.2283464566929133,-4.241269445801727e-5,-0.07038187267005257
152,0,0,NA,250,enn_mn,NA,0,NA,enn_mn,0.0018008433820658038,0,NA,NA,NA
153,0,175,0.6889763779527559,250,enn_mn,NA,33,0.12992125984251968,enn_mn,NA,-1.278,-0.5590551181102362,NA,NA
154,0,253,0.9921568627450981,250,NA,NA,246,0.9647058823529412,NA,NA,-0.063,-0.027450980392156876,NA,NA
155,0,256,1,250,NA,NA,256,1,NA,NA,0,0,NA,NA
156,0,186,1,250,NA,NA,186,1,NA,NA,0,0,NA,NA
157,0,17,0.07692307692307693,250,NA,NA,15,0.06787330316742081,enn_mn,NA,-0.018,-0.009049773755656118,NA,NA
158,0,217,0.9954128440366973,250,NA,NA,201,0.9220183486238532,NA,NA,-0.144,-0.07339449541284404,NA,NA
159,0,71,0.3183856502242152,250,enn_mn,5.389891704723482e-4,24,0.10762331838565023,enn_mn,0.0010365546521209552,-0.423,-0.210762331838565,4.97565481648607e-4,0.9231456008894592
160,0,140,0.6334841628959276,250,enn_mn,6.28820698883222e-4,43,0.19457013574660634,enn_mn,6.433983491233408e-4,-0.873,-0.43891402714932126,1.4577650240118795e-5,0.02318252288133728
161,0,60,0.26905829596412556,250,NA,NA,58,0.2600896860986547,NA,NA,-0.018,-0.008968609865470878,NA,NA
162,0,219,0.9864864864864865,250,enn_mn,NA,222,1,NA,NA,0.027,0.013513513513513487,NA,NA
163,0,206,0.9406392694063926,250,NA,NA,219,1,NA,NA,0.117,0.05936073059360736,NA,NA
164,0,223,1,250,NA,NA,223,1,NA,NA,0,0,NA,NA
165,0,0,NA,250,enn_mn,0.0014562681193906613,0,NA,NA,NA,0,NA,NA,NA
